display_name,gender,aliases
1022女声,组合,
183CLUB,组合,
1983,组合,
1个球,女歌手,
2R,组合,
3UNSHINE,组合,
4 In Love,组合,
4D,男歌手,
5566,组合,
7妹,女歌手,
88Lien,男歌手,
88Rising,组合,
8点组乐团,组合,
9M88,女歌手,
阿爆,女歌手,
阿达娃,女歌手,
阿杜,男歌手,
阿朵,女歌手,
阿吉太组合,组合,
阿佳组合,组合,
阿杰,男歌手,
阿克江Akin,男歌手,
阿鲲,男歌手,
阿兰,女歌手,
阿梨粤,女歌手,
阿里郎,组合,
阿林,女歌手,
阿鲁阿卓,女歌手,
阿妹,组合,
阿敏,女歌手,
阿铭,女歌手,
阿木,男歌手,
阿牛,男歌手,
阿悄,女歌手,
阿冗,男歌手,
阿萨Aza,男歌手,
阿桑,女歌手,
阿四龙组合,组合,
阿肆,女歌手,
阿信,组合,
阿雄,男歌手,
阿雅,女歌手,
阿禹ayy,男歌手,
阿云嘎,男歌手,
阿YueYue,女歌手,
哀四杏,组合,
艾辰,男歌手,
艾福杰尼,男歌手,
艾热 AIR,男歌手,
艾索,男歌手,
艾怡良,女歌手,
爱宝,女歌手,
爱朵女孩,组合,
爱乐团,组合,
爱星人,组合,
安琥,男歌手,
安静,女歌手,
安九,女歌手,
安伦泰伦,组合,
安娜其,组合,
安妮朵拉,组合,
安溥,女歌手,
安崎,女歌手,
安琪,女歌手,
安全着陆,组合,
安图声乐队,组合,
安雯,女歌手,
安又琪,女歌手,
安与骑兵,组合,
俺酱,男歌手,
暗杠,男歌手,
八三夭,组合,
八只眼,组合,
巴顿,男歌手,
芭比,组合,
白安,女歌手,
白光,女歌手,
白敬亭,男歌手,
白静晨,男歌手,
白举纲,男歌手,
白鹿,女歌手,
白皮书乐队,组合,
白鲨JAWS,组合,
白挺,男歌手,
白小白,男歌手,
白雪,女歌手,
柏松,男歌手,
斑马森林,组合,
办桌二人组,组合,
半吨兄弟,组合,
棒棒堂,组合,
包美圣,女歌手,
薄荷绿乐队,组合,
宝石Gem,男歌手,
鲍家街43号,组合,
爆裂菊是也,女歌手,
北极冰,女歌手,
贝贝帅,女歌手,
贝瓦儿歌,组合,
本多RURU,女歌手,
本兮,女歌手,
比莉,女歌手,
毕书尽,男歌手,
毕雯珺,男歌手,
边靖婷,女歌手,
卞小贞,女歌手,
便利商店,组合,
宾阳乐队,组合,
冰雪姐妹,女歌手,
菠萝赛东,女歌手,
伯远,男歌手,
不够,男歌手,
不靠谱组合,组合,
不可撤销乐队,组合,
不是花火呀,女歌手,
不知名选手Au,男歌手,
布瑞吉Bridge,男歌手,
布衣乐队,组合,
裁缝铺,男歌手,
蔡淳佳,女歌手,
蔡恩雨,女歌手,
蔡健雅,女歌手,
蔡旻佑,男歌手,
蔡佩轩,女歌手,
蔡琴,女歌手,
蔡秋凤,女歌手,
蔡幸娟,女歌手,
蔡徐坤,男歌手,
蔡依林,女歌手,Jolin
蔡翊昇,男歌手,
蔡卓妍,女歌手,
璨乐团,组合,
苍穹,女歌手,
曹方,女歌手,
曹芙嘉,女歌手,
曹格,男歌手,
曹雅雯,女歌手,
曹雨航,男歌手,
草东没有派对,组合,
草帽酱,女歌手,
草莓救星,组合,
草蜢,组合,
侧田,男歌手,
岑宁儿,女歌手,
曾沛慈,女歌手,
曾舜晞,男歌手,
曾惜,女歌手,
曾一鸣,男歌手,
曾轶可,女歌手,
曾咏熙,女歌手,
插班生,组合,
常艾非,女歌手,
超级橘子Orange,女歌手,
超级市场,组合,
朝歌夜弦,组合,
潮人语,组合,
沉默,女歌手,
陈百强,男歌手,
陈柏宇,男歌手,
陈冰,女歌手,
陈楚生,男歌手,
陈冠蒲,男歌手,
陈冠希,男歌手,
陈昊宇,女歌手,
陈浩,男歌手,
陈鸿宇,男歌手,
陈奂仁,男歌手,
陈慧琳,女歌手,
陈慧娴,女歌手,
陈佳,女歌手,
陈嘉桦,女歌手,
陈嘉唯,女歌手,
陈洁丽,女歌手,
陈洁仪,女歌手,
陈婧霏,女歌手,
陈柯宇,男歌手,
陈雷,男歌手,
陈蕾,女歌手,
陈力,女歌手,
陈立农,男歌手,
陈丽君,女歌手,
陈粒,女歌手,
陈每文,女歌手,
陈明,女歌手,
陈麒名,男歌手,
陈绮贞,女歌手,
陈瑞,女歌手,
陈珊妮,女歌手,
陈势安,男歌手,
陈淑桦,女歌手,
陈天润,男歌手,
陈伟霆,男歌手,
陈文非,女歌手,
陈僖仪,女歌手,
陈翔,男歌手,
陈小春,男歌手,
陈小云,女歌手,
陈忻玥,女歌手,
陈旭,男歌手,
陈学冬,男歌手,
陈雪凝,女歌手,
陈雪燃,男歌手,
陈雅雯,女歌手,
陈壹千,女歌手,
陈亦洺,男歌手,
陈奕楠,女歌手,
陈奕迅,男歌手,
陈苑淇,女歌手,
陈韵若,女歌手,
陈致逸,男歌手,
陈卓璇,女歌手,
陈子晴,女歌手,
成都集团,组合,
成龙,男歌手,
承桓,男歌手,
承利,男歌手,
城市少女,组合,
程安,男歌手,
程璧,女歌手,
程响,女歌手,
程潇,女歌手,
澄海伯伯,男歌手,
橙草,组合,
橙翼,男歌手,
池鱼,女歌手,
迟里乌布,男歌手,
赤羽,女歌手,
初音ミク,女歌手,
厨房仔,男歌手,
厨子和戏子,组合,
楚歌,组合,
褚晨茜,男歌手,
川青,女歌手,
锤娜丽莎,女歌手,
刺猬,组合,
崔健,男歌手,
崔开潮,男歌手,
崔天琪,女歌手,
崔子格,女歌手,
达达乐队,组合,
达桑嘉措,男歌手,
达闻西乐队,组合,
打倒三明治,组合,
大波浪,组合,
大布,男歌手,
大布偶,组合,
大川,女歌手,
大都会乐团,组合,
大粉乐队,组合,
大柯,女歌手,
大宽,男歌手,
大乔小乔,组合,
大庆小芳,组合,
大喜,男歌手,
大象体操,组合,
大小姐,组合,
大张伟,男歌手,
大壮,男歌手,
大籽,女歌手,
大嘴巴,组合,
大C,男歌手,
大Q秉洛,男歌手,
呆呆破,男歌手,
代露娃,女歌手,
戴爱玲,女歌手,
戴梦梦,女歌手,
戴佩妮,女歌手,
戴荃,男歌手,
戴娆,女歌手,
戴羽彤,女歌手,
黛青塔娜,女歌手,
单依纯,女歌手,
弹棉花的小花,女歌手,
蛋堡,男歌手,
刀郎,男歌手,
岛屿心情,组合,
德德玛,女歌手,
等一下就回家,男歌手,
邓典,男歌手,
邓典果DDG,男歌手,
邓丽君,女歌手,
邓丽欣,女歌手,
邓伦,男歌手,
邓瑞霞,女歌手,
邓小巧,女歌手,
邓颖芝,女歌手,
邓园长,女歌手,
邓岳章,男歌手,
低苦艾,组合,
迪克牛仔,男歌手,
电鸟个灯泡,男歌手,
丁当,女歌手,
丁丁,女歌手,
丁芙妮,女歌手,
丁可,男歌手,
丁世光,男歌手,
丁文琪,女歌手,
丁香 晓晓,组合,
丁禹兮,男歌手,
东城卫,组合,
东方红艳,女歌手,
董唧唧,男歌手,
董文华,女歌手,
董又霖,男歌手,
董真,女歌手,
动力火车,组合,
动物园钉子户,组合,
窦靖童,女歌手,
窦唯,男歌手,
毒药,女歌手,
杜德伟,男歌手,
杜婧荧,女歌手,
杜宣达,男歌手,
渡,男歌手,
段奥娟,女歌手,
段林希,女歌手,
队长,男歌手,
对角巷乐队,组合,
额尔古纳乐队,组合,
儿歌多多,组合,
二嘉,女歌手,
二珂,女歌手,
二手玫瑰,男歌手,
贰佰,男歌手,
贰强,男歌手,
贰萬,男歌手,
发光曲线,组合,
发条月亮,组合,
法老,男歌手,
帆布小镇,组合,
樊桐舟,女歌手,
樊竹青,女歌手,
反返,女歌手,
反光镜,组合,
饭思思,女歌手,
范本桐,男歌手,
范丞丞,男歌手,
范甲君,男歌手,
范琳琳,女歌手,
范倪Liu,女歌手,
范茹,女歌手,
范世錡,男歌手,
范玮琪,女歌手,
范文夺,男歌手,
范文芳,女歌手,
范晓萱,女歌手,
范怡文,女歌手,
范逸臣,男歌手,
方大同,男歌手,
方芳,女歌手,
方皓玟,女歌手,
方季惟,女歌手,
方力申,男歌手,
方糖泡泡,女歌手,
方向乐团,组合,
方雅贤,女歌手,
方仔Rich John,男歌手,
房东的猫,组合,
房子帆,男歌手,
房祖名,男歌手,
飞轮海,组合,
飞石号,组合,
绯村柯北,女歌手,
菲道尔,男歌手,
菲儿,女歌手,
肥宝,男歌手,
费启鸣,男歌手,
费翔,男歌手,
费玉清,男歌手,
粉太狼,女歌手,
风火海,组合,
风小筝,女歌手,
封茗囧菌,女歌手,
疯医,组合,
冯提莫,女歌手,
冯玮君,女歌手,
冯曦妤,女歌手,
冯泳,女歌手,
冯允谦,男歌手,
凤飞飞,女歌手,
凤凰传奇,组合,
奉天乐队,组合,
奉天组,组合,
缝纫机乐队,组合,
伏仪,男歌手,
佛跳墙,组合,
福禄寿Floruit Show,组合,
付笛声,男歌手,
付豪,男歌手,
付梦妮,女歌手,
付辛博,男歌手,
傅健颖,女歌手,
傅菁,女歌手,
傅梦彤,女歌手,
傅佩嘉,女歌手,
傅如乔,女歌手,
傅颖,女歌手,
覆予,女歌手,
甘草片r,男歌手,
甘萍,女歌手,
高尔宣,男歌手,
高枫,男歌手,
高高在这呢,女歌手,
高慧君,女歌手,
高进,男歌手,
高睿,女歌手,
高姗,女歌手,
高胜美,女歌手,
高维那,女歌手,
高旭,男歌手,
高鱼,女歌手,
高誉容,女歌手,
高原红,组合,
高源,女歌手,
告五人,组合,
格格,女歌手,
格子兮,女歌手,
葛东琪,男歌手,
葛林,男歌手,
葛漂亮,女歌手,
葛雨晴,女歌手,
葛仲珊,女歌手,
隔壁老樊,男歌手,
隔壁团乐队,组合,
根呷,男歌手,
根小八,男歌手,
耿十三,男歌手,
功夫,组合,
宫阁,男歌手,
龚琳娜,女歌手,
龚淑均,女歌手,
龚爽,女歌手,
龚玥,女歌手,
龚芝怡,女歌手,
龚子婕JessieG,女歌手,
孤矢,男歌手,
古巨基,男歌手,
古倩敏,女歌手,
谷江山,男歌手,
谷娅溦,女歌手,
顾峰,男歌手,
顾小洁,女歌手,
卦者灵风,男歌手,
怪阿姨,女歌手,
